type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
6,2023-11-22 22:36:14+0000,1251,0.86489874,0.0,18.0,6.001,109.0
6,2023-11-21 22:46:16+0000,1224,0.6873454,0.0,1453.0,0.84237534,135.0
6,2023-11-19 23:27:06+0000,1205,1.010101,0.0,16.0,6.001,128.0
6,2023-11-19 01:03:43+0000,1143,0.9090909,0.0,183.0,6.001,117.0
6,2023-11-18 01:26:48+0000,1284,0.68069494,0.0,1438.0,0.893107,120.0
8,2023-11-17 00:05:28+0000,1209,0.7696967,0.0,1270.0,0.9521499,129.0
6,2023-11-06 15:35:10+0000,1864,0.79469216,0.0,2147.0,0.86773556,180.0
6,2023-11-03 16:13:25+0000,2004,0.80089813,0.0,1244.0,1.6107389,209.0
6,2023-11-01 13:41:18+0000,1625,0.47169814,0.0,127.0,6.001,162.0
