type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
6,2023-11-20 01:21:55+0000,20310,0.4549850821495056,-1.0,64.0,6.000999927520752,1339.0
6,2023-11-16 22:05:13+0000,4817,9.43396282196045,0.2034174203872681,3529.0,1.364409181071125,203.5855407714844
6,2023-11-16 22:05:05+0000,1039,0.8299365043640137,-1.0,655.0,1.585030913352966,72.0
6,2023-11-15 23:51:38+0000,27526,0.8957502841949463,-1.0,264.0,6.000999927520752,1610.0
6,2023-11-05 15:19:36+0000,1618,0.7623891830444336,-1.0,20.0,6.000999927520752,98.0
6,2023-11-05 15:04:09+0000,2534,3.610108137130737,0.5630630850791931,3393.0,0.7465369879162983,174.2413635253906
6,2023-11-01 18:43:16+0000,1729,5.319149017333984,0.4413062632083893,2003.0,0.8622066899650525,148.5060729980469
6,2023-10-31 20:01:06+0000,1724,1.577287077903748,0.4426737427711487,2309.0,0.7462104807275877,156.5984649658203
6,2023-10-30 21:50:13+0000,30091,3.333333253860474,0.4861449003219604,1540.0,19.53831168831169,79.43879699707031
6,2023-10-25 19:22:03+0000,1020,3.649635076522827,0.426257461309433,1214.0,0.8393739703459637,49.04021072387695
6,2023-10-25 19:21:34+0000,2177,0.8780530691146851,-1.0,1006.0,2.163154125213623,84.0
1,2023-10-22 14:02:03+0000,1183,0.4543887078762054,-1.0,2214.0,0.5342516899108887,237.0
