type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
6,2023-11-20 21:42:23+0000,1806,0.8467886,0.0,1509.0,1.1965649,99.0
6,2023-11-19 21:34:35+0000,1786,0.41755944,0.0,1718.0,1.0387089,126.0
6,2023-11-18 22:38:51+0000,1355,0.85608244,0.0,1223.0,1.1066825,59.0
6,2023-11-16 21:19:55+0000,1351,0.812566,0.0,1182.0,1.1426466,66.0
6,2023-11-15 21:50:28+0000,1665,0.8146972,0.0,1699.0,0.9796062,102.0
6,2023-11-14 22:39:45+0000,1466,0.5349961,0.0,981.0,1.4943973,130.0
6,2023-11-02 15:30:37+0000,1424,0.4209156,0.0,1312.0,1.0846788,101.0
6,2023-11-01 13:40:49+0000,1656,0.6432895,0.0,1473.0,1.1246434,90.0
