time,heartRate
2023-10-29 12:55:48+0000,85
2023-10-25 15:01:54+0000,88
2023-10-13 08:39:00+0000,76
2023-10-12 17:13:22+0000,169
2023-10-09 15:19:46+0000,89
2023-09-30 22:28:45+0000,88
2023-09-28 08:33:03+0000,58
2023-09-16 11:13:12+0000,75
2023-09-15 18:42:04+0000,59
2023-09-14 14:13:17+0000,122
2023-09-14 12:03:23+0000,135
2023-09-12 07:38:12+0000,61
