type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
6,2023-10-29 14:46:05+0000,2880,228,0.541739579,3625,0.794,291
6,2023-10-30 19:05:10+0000,2458,234,0.7775057,3429,0.717,280
6,2023-10-31 18:09:44+0000,2193,242,0.710966205,3192,0.687,261
6,2023-11-01 13:39:03+0000,1538,235,0.225549698,1904,0.807,154
6,2023-11-02 17:19:44+0000,2701,243,0.718694695,3914,0.69,319
6,2023-11-03 17:05:44+0000,2840,245,0.011790782,3901,0.728,319
6,2023-11-04 13:10:30+0000,3020,226,0.193041276,4055,0.745,324
6,2023-11-05 13:12:30+0000,2705,241,0.357482522,3786,0.715,305
6,2023-11-06 19:11:11+0000,2600,233,0.459148065,3704,0.702,305
